ids,New,Approved,Committed,Done,Removed
167405,2023-06-22 11:59:39.327000+00:00,2023-06-26 09:55:31.973000+00:00,2023-06-26 10:40:45.727000+00:00,9999-01-01 00:00:00+00:00,
168139,2023-05-26 08:46:54.500000+00:00,2023-07-04 10:23:25.493000+00:00,,,
168153,2023-05-25 09:14:51.623000+00:00,2023-06-20 07:33:36.160000+00:00,2023-06-23 08:15:07.197000+00:00,2023-06-28 14:08:31.833000+00:00,
168155,2023-05-25 09:26:21.093000+00:00,2023-07-13 13:47:12.533000+00:00,9999-01-01 00:00:00+00:00,,
168202,2023-05-29 10:10:49.467000+00:00,2023-06-14 08:10:37.930000+00:00,2023-06-19 11:15:27.463000+00:00,2023-06-20 07:33:36.160000+00:00,
168205,2023-05-26 13:41:01.930000+00:00,2023-07-04 11:00:50.663000+00:00,2023-07-06 09:48:46.760000+00:00,9999-01-01 00:00:00+00:00,
168227,2023-05-26 11:32:51.713000+00:00,2023-06-20 07:33:36.160000+00:00,2023-06-26 11:15:19+00:00,2023-06-27 12:01:33.933000+00:00,
168229,2023-05-26 11:42:03.153000+00:00,2023-06-20 07:33:36.160000+00:00,2023-06-26 12:05:24.560000+00:00,2023-06-27 12:00:48.610000+00:00,
168246,2023-05-26 13:22:17.440000+00:00,2023-07-06 09:29:44.590000+00:00,,,
168248,2023-05-26 13:42:02.080000+00:00,2023-07-10 07:59:08.237000+00:00,2023-07-10 12:46:56.423000+00:00,9999-01-01 00:00:00+00:00,
168251,2023-05-29 09:17:57.387000+00:00,2023-06-20 07:33:36.160000+00:00,2023-06-26 08:14:03.587000+00:00,9999-01-01 00:00:00+00:00,
168271,2023-05-29 09:12:39.343000+00:00,2023-07-06 11:47:10.943000+00:00,2023-07-06 11:46:57.427000+00:00,,
168294,2023-05-30 09:59:22.080000+00:00,2023-06-14 17:56:30.467000+00:00,2023-06-21 15:11:01.380000+00:00,2023-06-23 08:15:04.820000+00:00,
168351,2023-05-30 11:36:09.510000+00:00,2023-07-06 14:10:35.507000+00:00,2023-07-10 11:07:13.650000+00:00,9999-01-01 00:00:00+00:00,
168490,2023-06-02 13:34:19.367000+00:00,2023-07-12 07:03:51.267000+00:00,2023-07-12 11:42:39.777000+00:00,9999-01-01 00:00:00+00:00,
168492,2023-06-02 13:49:49.337000+00:00,2023-07-07 12:23:50.897000+00:00,2023-07-14 06:43:48.483000+00:00,9999-01-01 00:00:00+00:00,
168495,2023-06-20 15:12:43.207000+00:00,2023-07-10 12:59:01.200000+00:00,2023-07-13 12:11:04.073000+00:00,9999-01-01 00:00:00+00:00,2023-06-05 08:33:47.793000+00:00
168889,2023-06-13 10:43:54.900000+00:00,2023-06-14 08:10:48.227000+00:00,2023-06-21 09:51:49.677000+00:00,2023-06-22 14:06:14.623000+00:00,
168950,2023-06-13 10:09:30.680000+00:00,2023-07-05 08:57:20.660000+00:00,,,
168975,2023-06-13 11:57:06.947000+00:00,2023-07-04 12:05:38.007000+00:00,,,
168981,2023-06-13 12:29:27.457000+00:00,2023-06-15 12:20:11.470000+00:00,2023-06-19 12:23:01.727000+00:00,9999-01-01 00:00:00+00:00,
168985,2023-06-13 12:31:21.500000+00:00,2023-06-26 10:12:41.340000+00:00,2023-06-28 13:08:49.413000+00:00,2023-06-30 11:09:35.340000+00:00,
169078,2023-06-15 12:42:49.593000+00:00,,,,
169087,2023-06-15 17:37:42.737000+00:00,,2023-06-15 17:38:31.047000+00:00,9999-01-01 00:00:00+00:00,
169207,2023-06-19 13:33:52.383000+00:00,2023-06-23 17:24:59.040000+00:00,2023-06-27 12:02:33.740000+00:00,2023-06-28 10:51:42.430000+00:00,
169271,2023-06-20 14:34:27.377000+00:00,,2023-06-23 10:29:46.393000+00:00,2023-06-26 09:32:50.730000+00:00,
169272,2023-06-20 14:52:50.453000+00:00,2023-07-05 09:36:04.913000+00:00,2023-07-07 11:14:44.297000+00:00,9999-01-01 00:00:00+00:00,
169273,2023-06-20 14:54:03.417000+00:00,2023-07-05 12:50:12.893000+00:00,2023-07-07 11:14:44.297000+00:00,9999-01-01 00:00:00+00:00,
169317,2023-06-22 09:02:36.910000+00:00,2023-07-05 14:08:45.333000+00:00,2023-07-06 09:06:22.350000+00:00,9999-01-01 00:00:00+00:00,
169319,2023-06-22 09:14:05.963000+00:00,2023-07-05 14:18:29.987000+00:00,2023-07-11 08:08:06.717000+00:00,9999-01-01 00:00:00+00:00,
169320,2023-06-22 09:12:19.350000+00:00,2023-07-10 12:44:11.957000+00:00,,,
169321,2023-06-22 09:22:12.670000+00:00,,2023-07-05 08:08:31.320000+00:00,9999-01-01 00:00:00+00:00,
169546,2023-06-27 10:05:13.120000+00:00,2023-07-10 11:42:51.887000+00:00,2023-07-12 11:06:01.320000+00:00,9999-01-01 00:00:00+00:00,
169775,2023-07-04 09:08:22.283000+00:00,2023-07-04 10:39:57.507000+00:00,,,
169856,2023-07-04 13:03:07.240000+00:00,2023-07-11 11:56:50.510000+00:00,9999-01-01 00:00:00+00:00,,
169860,2023-07-04 13:01:49.137000+00:00,2023-07-06 11:47:22.733000+00:00,2023-07-10 13:03:23.657000+00:00,9999-01-01 00:00:00+00:00,
